Date,HomeTeam,AwayTeam,BetOn,BetTeam,ModelProb,ImpProb,Edge,Odds,Stake,Won,PnL,Bankroll,Strategy,OddsBucket
2002-09-28,Leeds,Arsenal,A,Arsenal,0.4839072851643312,0.4608640811088869,0.0230432040554443,2.169837140689932,122.30504659411245,1,143.07698599960543,5866.156425983842,kelly,2.00–2.99
2002-09-28,Sunderland,Aston Villa,H,Sunderland,0.5243134557702471,0.49934614835261637,0.024967307417630757,2.0026188312437805,146.27085197239583,1,146.65391064959553,6012.810336633438,kelly,2.00–2.99
2002-09-28,Sunderland,Aston Villa,A,Aston Villa,0.4756865415080233,0.45303480143621266,0.022651740071810644,2.20733594158726,124.50574296513783,0,-124.50574296513783,5888.3045936683,kelly,2.00–2.99
2002-09-28,Man City,Liverpool,H,Man City,0.5089644521149351,0.48472804963327154,0.024236402481663588,2.0630124474054377,138.48155325086424,0,-138.48155325086424,5749.823040417436,kelly,2.00–2.99
2002-09-28,Man City,Liverpool,A,Liverpool,0.4910355452472324,0.46765290023545947,0.02338264501177295,2.138338069744693,126.27670094761451,1,143.74557601043537,5893.568616427871,kelly,2.00–2.99
2002-09-28,Birmingham,Newcastle,H,Birmingham,0.5386630031705621,0.5130123839719639,0.025650619198598235,1.9492706828197153,155.21306838744903,0,-155.21306838744903,5738.355548040422,kelly,1.50–1.99
2002-09-28,Birmingham,Newcastle,A,Newcastle,0.4613369941640465,0.4393685658705205,0.02196842829352602,2.2759934999416744,112.42916888492627,1,143.45888870101066,5881.8144367414325,kelly,2.00–2.99
2002-09-28,Tottenham,Middlesbrough,H,Tottenham,0.5408979778896541,0.51514093132348,0.025757046566174058,1.941216353029527,156.22907575419376,0,-156.22907575419376,5725.585360987238,kelly,1.50–1.99
2002-09-28,Tottenham,Middlesbrough,A,Middlesbrough,0.4591020194366924,0.43724001851113553,0.021862000925556846,2.2870733639732754,111.213267270795,1,143.1396340246811,5868.724995011919,kelly,2.00–2.99
2002-09-28,Chelsea,West Ham,H,Chelsea,0.580923664082014,0.553260632459061,0.027663031622953027,1.807466393470524,181.70183435709015,0,-181.70183435709015,5687.02316065483,kelly,1.50–1.99
