Date,Bankroll,Strategy
2019-03-03,-18610.532527562795,flat
2019-03-09,-18567.767765595534,flat
2019-03-09,-18667.767765595534,flat
2019-03-09,-18767.767765595534,flat
2019-03-09,-18670.684674620712,flat
2019-03-09,-18602.90769690062,flat
2019-03-09,-18487.338087714423,flat
2019-03-09,-18587.338087714423,flat
2019-03-09,-18687.338087714423,flat
2019-03-09,-18585.50374539958,flat
2019-03-09,-18685.50374539958,flat
2019-03-10,-18639.434609000557,flat
2019-03-10,-18530.911039210605,flat
2019-03-10,-18630.911039210605,flat
2019-03-10,-18730.911039210605,flat
2019-03-16,-18830.911039210605,flat
2019-03-16,-18930.911039210605,flat
2019-03-16,-19030.911039210605,flat
2019-03-16,-18922.005825161355,flat
2019-03-16,-18857.932272892886,flat
2019-03-17,-18957.932272892886,flat
2019-03-17,-18909.044712628252,flat
2019-03-30,-18831.95521088629,flat
2019-03-30,-18779.213246301882,flat
2019-03-30,-18735.202322633228,flat
2019-03-30,-18835.202322633228,flat
2019-03-30,-18709.630808768958,flat
2019-03-30,-18592.948077637313,flat
2019-03-30,-18692.948077637313,flat
2019-03-30,-18792.948077637313,flat
2019-03-30,-18671.421120579824,flat
2019-03-30,-18605.076604694845,flat
2019-03-31,-18530.34685051438,flat
2019-03-31,-18454.28780414128,flat
2019-04-01,-18398.120279496463,flat
2019-04-02,-18325.44737831779,flat
2019-04-02,-18425.44737831779,flat
2019-04-03,-18368.123528732187,flat
2019-04-03,-18330.17387194555,flat
2019-04-03,-18272.744047037682,flat
2019-04-05,-18212.7128507274,flat
2019-04-06,-18140.37465938533,flat
2019-04-06,-18240.37465938533,flat
2019-04-06,-18113.013656581406,flat
2019-04-06,-18213.013656581406,flat
2019-04-06,-18093.979413557103,flat
2019-04-07,-18193.979413557103,flat
2019-04-08,-18132.148167603056,flat
2019-04-12,-18232.148167603056,flat
2019-04-13,-18332.148167603056,flat
2019-04-13,-18202.994570608793,flat
2019-04-13,-18118.842388345878,flat
2019-04-13,-18218.842388345878,flat
2019-04-13,-18165.808643645112,flat
2019-04-13,-18053.93810387456,flat
2019-04-13,-18153.93810387456,flat
2019-04-13,-18114.352251657703,flat
2019-04-14,-18060.07271299964,flat
2019-04-14,-17990.365689037597,flat
2019-04-15,-17914.24332071412,flat
2019-04-16,-18014.24332071412,flat
2019-04-16,-17886.218839151956,flat
2019-04-20,-17986.218839151956,flat
2019-04-20,-18086.218839151956,flat
2019-04-20,-17988.43849902222,flat
2019-04-20,-18088.43849902222,flat
2019-04-20,-18188.43849902222,flat
2019-04-20,-18107.14926420225,flat
2019-04-20,-18207.14926420225,flat
2019-04-20,-18140.011066603314,flat
2019-04-21,-18240.011066603314,flat
2019-04-21,-18187.26910157352,flat
2019-04-21,-18287.26910157352,flat
2019-04-22,-18387.26910157352,flat
2019-04-23,-18337.90261049638,flat
